Trait,Stratum,Feature,Total width (bp),Proportion of SNPs,Coefficient,Coefficient_std_error,Coefficient_z-score,Coefficient_p,Coefficient_holm,Proportion of h2,Proportion of h2 standard error,Enrichment,Enrichment_std_error
ADHD,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,7.79550767329e-8,5.1765805169e-8,1.50591836596,0.0660440656034436,0.1320881312068872,0.0285018702384,0.0120232321626,6.30624681368,2.66022786861
Alzheimers disease,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,-8.27504917251e-8,7.8763059516e-8,-1.05062566428,0.85328472542504,1,-0.00252163072893,0.0308024034916,-0.557929203121,6.8152565866
Anorexia nervosa,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,-1.6047812336e-7,1.69117347252e-7,-0.94891580295,0.8286682817622315,1,-0.0149671294514,0.0239181774292,-3.31158663005,5.29207132515
Anxiety disorder,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,-2.57313021348e-8,1.17516461469e-7,-0.218959129753,0.5866590575239632,1,0.0067225528455,0.051321274948,1.48741388222,11.3552066551
Autism spectrum disorder,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,-6.625542272e-8,2.29512664127e-7,-0.288678722684,0.6135863766796845,1,0.00185978040182,0.016900297843,0.411489987676,3.73931424608
Bipolar disorder,Brain-linked (sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,6.36153040582e-7,2.35374575944e-7,2.70272623129,0.0034386682634635775,0.006877336526927155,0.0596855136169,0.0180038507659,13.2058555078,3.98348338465
BMI,Brain-linked (sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,1.21189230422e-7,5.3171463682e-8,2.27921561736,0.011327125589607906,0.021570136705255982,0.0337963087979,0.0102249761963,7.4776799869,2.26235061133
Childhood cognitive performance,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,2.64834823601e-7,1.49902161667e-7,1.7667178422,0.038637746883703396,0.07727549376740679,0.0469840844745,0.0246150259846,10.3955716075,5.44625415404
Cigarettes per day,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,2.08937454088e-8,6.85737809372e-8,0.304690001386,0.38030113274589944,0.7606022654917989,0.0149527158971,0.0316562267675,3.30839752596,7.0041712181
College attainment,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,2.937029348e-8,2.57569194116e-8,1.14028750918,0.1270832699754999,0.2541665399509998,0.0246773318851,0.00991664624608,5.46003978927,2.19413035947
Conscientiousness,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,-2.2756664386e-7,1.09839921641e-7,-2.07180267848,0.9808580765969258,1,-0.0619624204038,0.0465929684521,-13.7096377526,10.309034333
Coronary artery disease,Non-brain-linked,highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,1.31588135958e-8,7.15077605775e-8,0.184019377611,0.426999126687604,0.853998253375208,0.0234337301556,0.0229143107486,5.18488383009,5.06995849527
Crohns disease,Non-brain-linked,highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,8.6913886276e-8,2.51464650609e-7,0.345630632638,0.3648101608397605,0.729620321679521,0.022905657586,0.0119919394117,5.06804391988,2.65330411907
Depressive symptoms,Brain-linked (sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,1.7675058884e-8,1.61469229931e-8,1.09463944874,0.13683731291955567,0.13683731291955567,0.02114383492,0.0105252661661,4.67822779621,2.32879195883
Epilepsy,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,6.40442363972e-8,7.86850932428e-8,0.813930997064,0.2078422410340147,0.4156844820680294,0.0291603641807,0.0267032605321,6.4519434045,5.90829128885
Ever smoked,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,7.54656055557e-9,3.50644226499e-8,0.215219872031,0.4147979491497378,0.8295958982994756,0.0124009072463,0.015552699859,2.74379123736,3.44114835656
Extraversion,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,-5.62204461449e-8,3.05079949555e-8,-1.84281026095,0.9673216409309586,1,-0.105340229616,0.0933299710033,-23.3072946375,20.6499372616
Focal epilepsy,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,2.12275647403e-8,8.72833863456e-8,0.243202809023,0.40392414544872274,0.8078482908974455,0.0127327484129,0.0644996434429,2.81721351745,14.2710168681
Generalized epilepsy,Brain-linked (sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,3.83277899878e-7,1.51426989822e-7,2.53110690723,0.005685159337693304,0.011370318675386609,0.0486555027232,0.017304005319,10.765385094,3.82863747165
Height,Non-brain-linked,highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,-2.36869779417e-8,9.27144368042e-8,-0.255483167004,0.6008250284404268,1,0.0147515273104,0.00694318464209,3.26388308275,1.53623027751
IQ,Brain-linked (sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,1.0510963493e-7,5.70971417775e-8,1.84089135915,0.03281874046183112,0.03281874046183112,0.0269987228226,0.00924682633377,5.97366447709,2.04592781513
Ischemic stroke,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,6.86310428112e-8,9.42601404525e-8,0.728102488303,0.23327542537934262,0.46655085075868524,0.041047534159600003,0.0384318613723,9.08206652189,8.50332982699
Major depressive disorder,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,4.09532321967e-8,1.51683500893e-7,0.269991343525,0.39358345662856276,0.7871669132571255,0.0245040043407,0.0313408730243,5.42168980504,6.93439690077
Neuroticism,Brain-linked (sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,4.2363183139e-8,1.46321663007e-8,2.89520924438,0.001894529335853525,0.00378905867170705,0.0224287597745,0.00532235494594,4.96252679841,1.17760987747
Openness,Brain-linked (sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,1.60954802782e-7,1.38651382883e-7,1.16085970032,0.12284947992098971,0.12284947992098971,0.0586077636416,0.0417823218261,12.9673954597,9.24464365601
PTSD,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,1.18438318312e-7,2.61198020253e-7,0.453442634048,0.32511502123954517,0.32511502123954517,0.112854278132,0.385414114139,24.9698327137,85.2756857323
Schizophrenia,Brain-linked (sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,1.5935637636e-7,9.40412041301e-8,1.6945378128,0.04508156635264287,0.04508156635264287,0.0211296110985,0.00620677809691,4.67508067188,1.37329495466
Subjective well-being,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,-4.02235539611e-10,1.00007018163e-8,-0.0402207312048,0.5160414250548427,0.5160414250548427,0.0120542586198,0.0114802024204,2.6670926987,2.54007857479
Years of education,Brain-linked (non-sig),highly_coexp_all_brain_regulatory_elements,15009968,0.00451962491804,1.44587741057e-8,1.20986834378e-8,1.19507004048,0.1160298330665222,0.2320596661330444,0.0259054900587,0.00994314377827,5.73177874901,2.19999313186
ADHD,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,2.32589985513e-8,2.64118385311e-8,0.880627773181,0.1892596606108311,0.1892596606108311,0.0511342092323,0.0199763132217,3.36257311698,1.31363748113
Alzheimers disease,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-2.96211677196e-8,5.83482376198e-8,-0.507661738005,0.6941547070899101,1,0.0541255222264,0.0681021264161,3.55928112928,4.47837920903
Anorexia nervosa,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-1.08487172654e-7,9.10447131652e-8,-1.19158124489,0.8832872587020162,1,-0.0247875433392,0.0422988036916,-1.63002279921,2.78155900539
Anxiety disorder,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-1.35545104125e-7,7.15689352158e-8,-1.89390974892,0.9708815048669506,1,-0.120955795755,0.134657629816,-7.95402360287,8.85505286602
Autism spectrum disorder,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-7.27996468157e-8,1.15842797086e-7,-0.628434815519,0.7351404321071716,1,0.00827776719959,0.0269442796964,0.544343950397,1.77184925559
Bipolar disorder,Brain-linked (sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,1.71463341619e-7,1.21566174992e-7,1.41045271541,0.07920302455761759,0.07920302455761759,0.0836430135741,0.0284638781643,5.50034415492,1.8717776799
BMI,Brain-linked (sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,4.7943527253e-8,2.08644851476e-8,2.2978533577,0.010785068352627991,0.021570136705255982,0.0631714337613,0.0130453147383,4.15413806365,0.85785671276
Childhood cognitive performance,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-3.79892691692e-8,8.55085330088e-8,-0.444274598482,0.6715779680231752,0.6715779680231752,-4.63562441855e-4,0.0418145219621,-0.0304837530183,2.74971275708
Cigarettes per day,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,2.37225259796e-10,3.83682125511e-8,0.0061828593,0.49753341172681975,0.7606022654917989,0.018449844795,0.0561911029569,1.21325729001,3.6951132139
College attainment,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-1.90722952699e-8,1.72916823728e-8,-1.10297511015,0.8649810129300061,0.8649810129300061,0.0227924562168,0.0205548496587,1.49882635706,1.35168189601
Conscientiousness,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-5.94954151764e-8,8.07114069083e-8,-0.737137629678,0.7694806711756843,1,0.00406228274484,0.0960998697146,0.267134721675,6.31950397393
Coronary artery disease,Non-brain-linked,EM_all_brain_regulatory_elements,46001863,0.015206869101,2.83916746512e-9,3.2222683935e-8,0.0881108312033,0.4648942939041339,0.853998253375208,0.0658114000583,0.033239340709,4.32774160291,2.18581093112
Crohns disease,Non-brain-linked,EM_all_brain_regulatory_elements,46001863,0.015206869101,4.52122524736e-8,2.05770908009e-7,0.219721305169,0.41304410549219095,0.729620321679521,0.067040484401,0.0311674041125,4.40856588926,2.0495608863
Depressive symptoms,Brain-linked (sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,2.18802573753e-8,1.11137651137e-8,1.96875290701,0.02449073627143882,0.04898147254287764,0.0767283954441,0.0239090049437,5.04564055459,1.57225032878
Epilepsy,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-3.18179048412e-10,4.41320094859e-8,-0.00720971132108,0.5028762337577043,0.5028762337577043,0.0294008044159,0.0476865273356,1.93338972149,3.13585439705
Ever smoked,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,4.37801990731e-9,2.15120705168e-8,0.20351457587,0.4193664270847012,0.8295958982994756,0.0364699794652,0.0304120214831,2.39825694712,1.99988710899
Extraversion,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-3.33950163971e-8,2.23481708565e-8,-1.49430647418,0.9324522331277288,1,-0.178714093253,0.214331580795,-11.7521951472,14.0943924336
Focal epilepsy,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-4.49027588741e-8,4.94919684873e-8,-0.907273649575,0.8178689474615023,0.8178689474615023,-0.110587839422,0.142404438528,-7.27222932533,9.36448111589
Generalized epilepsy,Brain-linked (sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,1.99707565698e-7,9.0597132746e-8,2.20434752894,0.013749956387091538,0.013749956387091538,0.0946572558024,0.0325568274925,6.22463803522,2.14092902861
Height,Non-brain-linked,EM_all_brain_regulatory_elements,46001863,0.015206869101,-3.66503965466e-8,5.34135950853e-8,-0.686162324181,0.7536946234644528,1,0.0444136467605,0.0124521486777,2.92063056936,0.818850257409
IQ,Brain-linked (sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,6.29189334024e-8,2.94122701262e-8,2.13920697493,0.016209454778155885,0.03241890955631177,0.0661343760816,0.0152279050198,4.34898042736,1.00138331689
Ischemic stroke,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,1.10271691277e-9,5.00390955107e-8,0.0220371072162,0.49120917771997946,0.49120917771997946,0.0509863713293,0.0647537466562,3.35285133256,4.25819057337
Major depressive disorder,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-1.14138790968e-8,7.45278255205e-8,-0.153149230064,0.5608597031091374,0.7871669132571255,0.0415059955558,0.0521024789773,2.72942413591,3.4262462990500002
Neuroticism,Brain-linked (sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,2.06588809178e-8,1.29444394275e-8,1.595965668,0.055248229328496455,0.055248229328496455,0.0496683090339,0.0141438215655,3.26617587777,0.930094253563
Openness,Brain-linked (sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,1.91869564007e-7,8.91373800755e-8,2.15251518325,0.015678400373560997,0.03135680074712199,0.216161295139,0.0967943638347,14.2147140022,6.36517373774
PTSD,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,2.66644901658e-7,1.36201333644e-7,1.9577260701,0.02513108222471809,0.05026216444943618,0.755446000659,1.56411621403,49.6779445949,102.855900426
Schizophrenia,Brain-linked (sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,1.46665486997e-7,5.65159371428e-8,2.59511731401,0.004727931892717143,0.009455863785434285,0.0651643255434,0.0122781248715,4.28519014077,0.807406494394
Subjective well-being,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,6.44971949941e-9,6.52207487784e-9,0.98890607977,0.1613545478226103,0.3227090956452206,0.0633653219794,0.024643705563,4.16688810555,1.62056406216
Years of education,Brain-linked (non-sig),EM_all_brain_regulatory_elements,46001863,0.015206869101,-6.23836134624e-9,6.75068527522e-9,-0.92410786341,0.8222849201846979,0.8222849201846979,0.0309713727434,0.0177400674501,2.03666991133,1.16658250507
